,, No CPUSIU for the following products ,,,,,,,,,

*******************************  HARDWARE  *******************************,,,,,,,,,,,

Product,         Description,Qty,Purchase , , , ,Maint , , , , 

1814-72A,DS4700 Express Model 72 (4 GB Cache),1,2184000, , , ,79651,A, , , 
5415,"(42D0410) 4 Gbps FC, 300 GB/15K E-DDM",10,2049060, , , , , , , , 
5605,(39M5697) Fiber Cable 5m Multimode (LC-LC),4,40248, , , , , , , , 
7305,(41Y5214) DS4700 Enh. Remote Mirror,1,780000, , , , , , , , 
7700,DS4700 Windows Host Kit,1,97500, , , , , , , , 
8856,DS4700 Mod 72 8-Storage Partitions Activation,1,390000, , , , , , , , 
9202,Field Integrate DS4700,1,N/C , , , , , , , , 
9840,"(02K0546) Power Cord 250V/10A, P.R.China",1,N/C , , , , , , , , 
, ,,========= ,,,,====== , ,,,
,1814-72A Price,,5540808,,,, , ,,,
,Annual Maintenance,, ,,,,79651, ,,,
 ,,,,,,,,,,,
1814-72A,DS4700 Express Model 72 (4 GB Cache),1,2184000, , , ,79651,A, , , 
5415,"(42D0410) 4 Gbps FC, 300 GB/15K E-DDM",10,2049060, , , , , , , , 
5605,(39M5697) Fiber Cable 5m Multimode (LC-LC),4,40248, , , , , , , , 
7305,(41Y5214) DS4700 Enh. Remote Mirror,1,780000, , , , , , , , 
7700,DS4700 Windows Host Kit,1,97500, , , , , , , , 
8856,DS4700 Mod 72 8-Storage Partitions Activation,1,390000, , , , , , , , 
9202,Field Integrate DS4700,1,N/C , , , , , , , , 
9840,"(02K0546) Power Cord 250V/10A, P.R.China",1,N/C , , , , , , , , 
, ,,========= ,,,,====== , ,,,
,1814-72A Price,,5540808,,,, , ,,,
,Annual Maintenance,, ,,,,79651, ,,,
 ,,,,,,,,,,,


*****************************  GRAND TOTALS  *****************************,,,,,,,,

, ,,========= ,,,, , 
, Price,,11081616,,,, , 

N/O  - Not Offered,,,,,,,,
N/A  - Price Not Available in Price Database,,,,,,,,
N/C  - No Charge,,,,,,,,
A    - Annual Maintenance Price,,,,,,,,
W/D  - WITHDRAWN,,,,,,,,
F    - ESA 24x7 Full Coverage,,,,,,,,
P    - ESA 9x5 Prime Coverage,,,,,,,,

Parts removed as a result of a model upgrade become the property of IBM.,,,,,,,,
