,,, Server 1 ,,,,,,,,

*******************************  HARDWARE  *******************************,,,,,,,,,,,

Product,         Description,Qty,Purchase , , , ,Maint , , , , 

7998-60X,Server 1:7998 Model 60X,1,11100, , , ,3373,A, , , 
265,AIX Partition Specify,1,N/C , , , , , , , , 
2146,Primary Operating System Indicator - AIX,1,N/C , , , , , , , , 
4650,Rack Indicator- Not Factory Integrated,1,N/C , , , , , , , , 
4680,Chassis indicator-Not Factory Integrated,1,N/C , , , , , , , , 
5005,Software Preinstall,1,N/C , , , , , , , , 
8146,Software Preinstall,1,3330, , , , , , , , 
8229,4GB (2 x 2 GB) DDR2 667MHz VLP DIMMs,2,50950, , , , , , , , 
8251,Emulex 4Gb Fibre Channel Expansion Card (CFFv) for IBM BladeCenter,1,44345, , , , , , , , 
8252,QLogic Ethernet and 4 Gb Fibre Channel Expansion Card (CFFh),1,55445, , , , , , , , 
8274,IBM 300GB SAS 10K RPM SAS HDD,2,76480, , , , , , , , 
8442,IBM BladeCenter JS12 2-core 3.8 GHz Processor,1,174270, , , , , , , , 
8444,One Processor Entitlement for Processor Feature #8442,2,11100, , , , , , , , 
8751,BM BladeCenter JS12 Installation/Users Guide (Simplified Chinese),1,N/C , , , , , , , , 
, ,,========= ,,,,====== , ,,,
,7998-60X Price,,427020,,,, , ,,,
,Annual Maintenance,, ,,,,3373, ,,,
 ,,,,,,,,,,,
5313-HPO,IBM Power Software HIPO,1,N/C , , , , , , , , 
534,7998-60X Routing Code,1,N/C , , , , , , , , 
967,Base OS,1,N/C , , , , , , , , 
1061,OS Specify code for 6.1,1,N/C , , , , , , , , 
1488,Firefox,1,N/C , , , , , , , , 
2215,IBM PowerHA 5.5,1,N/C , , , , , , , , 
5000,Preload,1,N/C , , , , , , , , 
5987,Traditional Chinese Preinstall PII Language,1,N/C , , , , , , , , 
9209,HW not Rack Integrated,1,N/C , , , , , , , , 
 ,,,,,,,,,,,


*******************************  SOFTWARE  *******************************,,,,,,,,,,,

Product,         Description,Qty,License , , , , , , , , 

5662-HMP,IBM POWERHA Reg:3Yr,1,N/C , , , , , , , , 
A0CV,IBM POWERHA Base SWMA per proc 3Y Reg SMALL,2,22270, , , , , , , , 
, ,,========= ,,,, , ,,,
,5662-HMP OTC,,22270,,,, , ,,,
 ,,,,,,,,,,,
5692-A6P,System Software,1,N/C , , , , , , , , 
